# ----------------------------------------
# Facebook Swarm NLP
# Pages
# 20110301-20111108
# ----------------------------------------

Page	Pageviews	Unique Pageviews	Avg. Time on Page	Bounce Rate	% Exit
/users/peter.ring	82	54	00:10:54	0.00%	50.00%
/users/100002210426144	82	60	00:07:37	0.00%	28.05%
/users/samar.kenze	82	54	00:07:31	0.00%	29.27%
/users/100000134922837	81	75	00:12:02	0.00%	44.44%
/users/thiEyNtHa.mUsiEyxQ	81	71	00:03:10	0.00%	25.93%
/users/100001069094085	81	58	00:03:36	0.00%	2.47%
/users/100001210344993	80	35	00:04:52	0.00%	18.75%
/users/romain.vuillemot	79	72	00:02:56	0.00%	31.65%
/users/dabolikaxD	78	53	00:02:04	0.00%	2.56%
/users/100002837111155	78	75	00:00:38	0.00%	0.00%
/users/100002892371028	78	77	00:00:50	0.00%	0.00%
/users/100002915343799	78	53	00:05:13	0.00%	25.64%
/users/daviidm14	77	61	00:05:04	0.00%	29.87%
/users/bjatilano	76	38	00:03:56	0.00%	2.63%
/users/jackluvskim	76	62	00:12:16	0.00%	44.74%
/users/100000533842088&ref=tn_nonslim	76	62	00:09:36	0.00%	19.74%
/users/100001512772179	76	73	00:01:47	0.00%	1.32%
/users/100001629000669	75	61	00:00:50	0.00%	0.00%
/users/100002263815435	75	68	00:14:49	0.00%	38.67%
/users/bano157	74	53	00:07:52	0.00%	32.43%
/users/100002329572478	74	61	00:04:03	0.00%	31.08%
/users/randrytran	74	43	00:02:14	0.00%	17.57%
/users/barbaraantonella.suarez	73	58	00:09:34	0.00%	31.51%
/users/100001392305403	73	65	00:04:32	0.00%	10.96%
/users/100000527346740	72	48	00:02:10	0.00%	30.56%
/users/100000977544570	72	61	00:25:06	0.00%	16.67%
/users/100002436767037	71	62	00:00:45	0.00%	0.00%
/users/100002958845358	71	37	00:02:01	0.00%	1.41%
/users/rafaelesteves.costa	71	65	00:08:09	0.00%	40.85%
/users/boriisalegriia	71	49	00:10:09	0.00%	25.35%
/users/artcow	70	45	00:04:44	0.00%	7.14%
/users/MaRoChiie	70	62	00:08:29	0.00%	47.14%
/users/100001061421110	70	42	00:03:27	0.00%	22.86%
/users/100001958089445	70	53	00:01:47	0.00%	12.86%
/users/albana.kolonjari	69	52	00:11:12	0.00%	40.58%
/users/denek.dekaese	69	51	00:07:13	0.00%	7.25%
/users/100001567351196	69	52	00:16:34	0.00%	52.17%
/users/1694604532	69	60	00:06:26	0.00%	13.04%
/users/sitalikutang	69	55	00:06:30	0.00%	44.93%
/users/100002147271741	69	58	00:05:46	0.00%	7.25%
/users/100000990408187	68	56	00:03:42	0.00%	4.41%
/users/100002564208857	68	66	00:01:13	0.00%	0.00%
/users/100002892140473	68	29	00:05:03	0.00%	1.47%
/users/jirka.kremser	67	64	00:10:16	0.00%	44.78%
/users/100002562948656	66	64	00:01:05	0.00%	0.00%
